platform,server,uid,dataUnix,status
IOS,10,1|32,1571493129,LOGOUT
H5,22,2|1959,1571493249,LOGOUT
ADR,20,2|790_57,1571493339,LOGIN
IOS,11,1|790_57,1571493339,LOGOUT
IOS,13,1|2651,1571493699,LOGIN
IOS,22,2|1847,1571493759,LOGIN
IOS_YY,15,1|1688,1571493969,LOGOUT
H5,14,1|401,1571494089,LOGOUT
ADR,12,1|1198,1571494149,LOGIN
ADR,12,1|1342,1571494329,LOGIN
IOS_YY,10,1|2085,1571494539,LOGOUT
IOS,5,0|2291,1571494629,LOGIN
IOS_YY,21,2|1816,1571494659,LOGOUT
IOS_YY,5,0|2118,1571494689,LOGOUT
H5,25,2|1788,1571494869,LOGIN
H5,15,1|2721,1571494929,LOGOUT
IOS_YY,21,2|2826,1571494989,LOGOUT
ADR,15,1|2667,1571495019,LOGIN
ADR,25,2|2667,1571495019,LOGOUT
IOS_YY,12,1|1534,1571495109,LOGIN
IOS,25,2|2149,1571495319,LOGOUT
H5,22,2|2063,1571495469,LOGIN
ADR,3,0|1811_242,1571495799,LOGOUT
IOS_YY,1,0|2283,1571495859,LOGOUT
H5,13,1|2930,1571495979,LOGOUT
IOS,10,1|2901,1571496219,LOGIN
ADR,20,2|1342,1571496249,LOGIN
ADR,20,2|1342,1571496249,LOGIN
IOS,12,1|1830,1571496639,LOGOUT
ADR,2,0|1599,1571496729,LOGIN
ADR,15,1|2381,1571497119,LOGIN
ADR,14,1|2481,1571497209,LOGIN
ADR,22,2|452,1571497299,LOGIN
IOS,12,1|2771,1571497989,LOGOUT
ADR,0,0|2928,1571498409,LOGOUT
IOS_YY,12,1|2049,1571498439,LOGIN
IOS_YY,5,0|2049,1571498439,LOGOUT
ADR,5,0|1734,1571498529,LOGIN
IOS,12,1|70,1571498679,LOGIN
IOS_YY,13,1|70,1571498679,LOGOUT
IOS_YY,13,1|70,1571498679,LOGOUT
ADR,13,1|1273,1571498769,LOGOUT
ADR,23,2|1434,1571499279,LOGOUT
IOS,12,1|1153,1571499519,LOGIN
H5,24,2|2188,1571499579,LOGIN
IOS,14,1|36,1571499669,LOGIN
ADR,3,0|131,1571500059,LOGOUT
H5,15,1|2898,1571500119,LOGIN
IOS_YY,11,1|2808,1571500269,LOGOUT
IOS_YY,23,2|1076,1571500359,LOGIN
H5,3,0|1972,1571500749,LOGIN
ADR,21,2|1947_191,1571414469,LOGIN
IOS,25,2|2506,1571414559,LOGIN
H5,5,0|1082,1571414769,LOGOUT
H5,10,1|2571,1571414919,LOGIN
ADR,24,2|2449,1571415489,LOGOUT
ADR,12,1|795,1571415609,LOGIN
H5,14,1|1708,1571415759,LOGIN
H5,4,0|725_71,1571416209,LOGIN
ADR,4,0|725_71,1571416209,LOGOUT
ADR,2,0|2364,1571416449,LOGIN
IOS_YY,14,1|2953,1571416689,LOGOUT
IOS,11,1|1745,1571416869,LOGIN
IOS,5,0|457,1571416989,LOGOUT
IOS,24,2|2566,1571417079,LOGIN
IOS,25,2|73_199,1571417169,LOGOUT
ADR,5,0|695,1571417319,LOGIN
ADR,14,1|2117,1571417589,LOGOUT
ADR,1,0|2062,1571417889,LOGIN
H5,23,2|1116,1571418039,LOGOUT
H5,25,2|241,1571418279,LOGOUT
H5,2,0|1549,1571418549,LOGOUT
IOS_YY,24,2|1954,1571418759,LOGOUT
H5,1,0|1041,1571418969,LOGOUT
ADR,15,1|1571,1571419059,LOGOUT
H5,14,1|1195,1571419089,LOGOUT
ADR,15,1|1162,1571419179,LOGIN
IOS_YY,1,0|2356,1571419419,LOGOUT
IOS,20,2|2271,1571419449,LOGIN
IOS_YY,20,2|2253,1571419509,LOGIN
IOS_YY,20,2|1406,1571419659,LOGIN
H5,25,2|47,1571419689,LOGOUT
IOS,23,2|2556,1571420019,LOGIN
H5,21,2|48,1571420469,LOGIN
ADR,11,1|2397,1571420739,LOGOUT
IOS_YY,22,2|2426,1571420769,LOGIN
IOS_YY,21,2|1708,1571420919,LOGOUT
IOS_YY,20,2|388,1571421219,LOGIN
IOS,5,0|1884,1571421939,LOGOUT
ADR,15,1|1304_273,1571422059,LOGOUT
IOS_YY,25,2|1078,1571422329,LOGOUT
IOS,0,0|1911,1571422659,LOGIN
IOS,1,0|2625,1571422689,LOGIN
IOS,2,0|813,1571423019,LOGIN
IOS,5,0|2815,1571423079,LOGIN
IOS_YY,0,0|1987,1571423379,LOGIN
IOS,24,2|2121,1571423409,LOGOUT
ADR,23,2|50,1571423919,LOGIN
H5,4,0|2602,1571424279,LOGOUT
ADR,15,1|1011,1571424309,LOGIN
IOS,1,0|2063,1571424339,LOGIN
H5,4,0|2218,1571424369,LOGIN
H5,23,2|1339,1571424609,LOGOUT
IOS_YY,1,0|338,1571424819,LOGIN
IOS,24,2|249,1571424999,LOGOUT
IOS_YY,11,1|682,1571425149,LOGOUT
IOS,4,0|561,1571425389,LOGOUT
H5,11,1|2613,1571425419,LOGIN
ADR,15,1|1036_138,1571425569,LOGIN
IOS_YY,0,0|1923_117,1571425659,LOGIN
IOS_YY,11,1|2326,1571426199,LOGOUT
IOS,24,2|2674,1571426259,LOGIN
IOS,25,2|2128,1571426319,LOGIN
IOS_YY,2,0|1749,1571426349,LOGIN
IOS_YY,10,1|1346,1571426469,LOGOUT
IOS,4,0|250,1571426709,LOGOUT
ADR,1,0|2289,1571426769,LOGIN
IOS_YY,11,1|452,1571426799,LOGIN
H5,11,1|1738,1571426919,LOGOUT
ADR,12,1|2711,1571426949,LOGIN
IOS,3,0|1657,1571427069,LOGOUT
ADR,11,1|905_170,1571427249,LOGIN
IOS_YY,15,1|1368,1571427309,LOGOUT
IOS,23,2|1862,1571427369,LOGOUT
IOS_YY,2,0|953,1571427519,LOGOUT
IOS,23,2|2228,1571427669,LOGIN
IOS,12,1|1696,1571427759,LOGIN
IOS,15,1|1671,1571427999,LOGIN
IOS_YY,13,1|1303,1571428419,LOGIN
H5,13,1|1833,1571428899,LOGIN
H5,13,1|1833,1571428899,LOGIN
H5,23,2|861,1571429349,LOGIN
IOS_YY,0,0|1929,1571429439,LOGIN
IOS_YY,14,1|2223,1571430219,LOGIN
IOS_YY,24,2|1429,1571430309,LOGIN
IOS,23,2|918,1571430459,LOGOUT
IOS,3,0|1725,1571430729,LOGIN
IOS_YY,21,2|1037,1571430789,LOGIN
ADR,13,1|2897,1571431029,LOGIN
ADR,2,0|2897,1571431029,LOGOUT
IOS,0,0|2821,1571431089,LOGOUT
IOS,10,1|1911,1571431299,LOGIN
ADR,3,0|2402,1571431449,LOGOUT
IOS_YY,4,0|1211_79,1571431509,LOGOUT
IOS,4,0|108,1571431749,LOGIN
IOS_YY,1,0|1358,1571431809,LOGIN
IOS,10,1|142,1571432079,LOGOUT
H5,11,1|2321,1571432169,LOGOUT
ADR,4,0|2232,1571432289,LOGOUT
ADR,15,1|410,1571432349,LOGIN
IOS_YY,24,2|1785,1571432679,LOGOUT
ADR,4,0|1239,1571432799,LOGIN
ADR,15,1|1239,1571432799,LOGOUT
ADR,21,2|2443,1571432919,LOGOUT
ADR,1,0|1481,1571433069,LOGIN
IOS_YY,4,0|849,1571433279,LOGIN
IOS_YY,20,2|1188,1571433309,LOGIN
IOS_YY,20,2|1188,1571433309,LOGIN
IOS,2,0|239_107,1571433519,LOGOUT
IOS,13,1|2877,1571433609,LOGIN
IOS_YY,5,0|2791,1571433669,LOGIN
H5,0,0|1425,1571433819,LOGOUT
H5,0,0|1425,1571433819,LOGOUT
ADR,12,1|626,1571433999,LOGIN
IOS,5,0|865,1571434089,LOGOUT
ADR,4,0|446,1571434209,LOGIN
ADR,15,1|2783,1571434599,LOGOUT
IOS,25,2|2681,1571434749,LOGIN
IOS,10,1|30,1571434959,LOGIN
H5,23,2|1729,1571434989,LOGIN
IOS_YY,21,2|2026,1571435439,LOGOUT
IOS_YY,20,2|382,1571435529,LOGOUT
IOS,15,1|1756,1571435919,LOGOUT
H5,14,1|2125,1571436579,LOGOUT
ADR,1,0|1636,1571436669,LOGIN
H5,2,0|723,1571436729,LOGOUT
H5,2,0|723,1571436729,LOGOUT
H5,2,0|723,1571436729,LOGOUT
IOS,4,0|1887,1571436819,LOGIN
H5,0,0|1997,1571437029,LOGOUT
IOS_YY,22,2|809,1571437179,LOGIN
H5,14,1|1456,1571437479,LOGIN
IOS_YY,10,1|1003,1571437539,LOGIN
H5,24,2|2033,1571437569,LOGIN
H5,21,2|2741,1571437629,LOGOUT
IOS_YY,5,0|1732,1571437659,LOGIN
ADR,10,1|236,1571437749,LOGIN
ADR,21,2|591,1571437869,LOGOUT
IOS,3,0|1411,1571437899,LOGOUT
H5,1,0|2317,1571437959,LOGOUT
IOS,10,1|2874,1571438229,LOGIN
H5,21,2|2081,1571438499,LOGOUT
IOS_YY,12,1|2441,1571438619,LOGIN
IOS,25,2|1869,1571438679,LOGIN
ADR,5,0|697,1571438739,LOGOUT
H5,5,0|2831,1571438979,LOGOUT
H5,0,0|777,1571439159,LOGIN
IOS_YY,3,0|1223,1571439249,LOGIN
IOS,11,1|41,1571439939,LOGOUT
H5,3,0|2404,1571440269,LOGIN
ADR,12,1|798,1571440329,LOGOUT
H5,25,2|888_108,1571440419,LOGIN
ADR,15,1|1876,1571440779,LOGOUT
ADR,25,2|2755,1571440959,LOGIN
H5,24,2|1522,1571441019,LOGOUT
IOS_YY,15,1|2647,1571441079,LOGOUT
ADR,23,2|2777,1571441139,LOGIN
IOS_YY,22,2|113,1571441289,LOGIN
IOS_YY,10,1|1308,1571441379,LOGIN
H5,20,2|1439,1571441589,LOGIN
IOS_YY,10,1|1993,1571441829,LOGIN
ADR,24,2|315,1571441889,LOGOUT
IOS,23,2|2784,1571442039,LOGOUT
IOS,20,2|614,1571442339,LOGOUT
H5,5,0|2607,1571442459,LOGOUT
H5,0,0|2227,1571442579,LOGIN
ADR,11,1|2503,1571442639,LOGOUT
ADR,1,0|1741,1571442759,LOGIN
IOS,2,0|1947_134,1571443089,LOGIN
IOS,21,2|2501,1571443209,LOGIN
H5,3,0|1088,1571443239,LOGOUT
ADR,10,1|999,1571443269,LOGIN
H5,24,2|141,1571443359,LOGIN
IOS,1,0|2129,1571443629,LOGOUT
IOS,22,2|2552,1571443869,LOGIN
IOS,22,2|2552,1571443869,LOGIN
IOS,0,0|966,1571443899,LOGOUT
IOS_YY,3,0|1033,1571443989,LOGOUT
H5,11,1|1101,1571444049,LOGIN
IOS_YY,5,0|2477,1571444199,LOGIN
IOS,12,1|2867,1571444259,LOGIN
ADR,14,1|1621,1571445009,LOGIN
IOS,25,2|71,1571445039,LOGOUT
ADR,5,0|1126,1571445189,LOGOUT
ADR,11,1|1976,1571445249,LOGOUT
H5,12,1|865,1571445339,LOGIN
H5,12,1|865,1571445339,LOGIN
IOS,20,2|84,1571445459,LOGOUT
IOS_YY,14,1|2485,1571445999,LOGIN
H5,15,1|1652,1571446449,LOGIN
IOS,2,0|465,1571446509,LOGIN
IOS,15,1|2229,1571446809,LOGIN
IOS,5,0|2116,1571446959,LOGOUT
H5,0,0|2395,1571446989,LOGIN
IOS_YY,14,1|2362,1571447169,LOGIN
IOS_YY,1,0|2270,1571447439,LOGIN
IOS_YY,1,0|2270,1571447439,LOGIN
H5,12,1|2487,1571447469,LOGOUT
IOS_YY,11,1|1955,1571447589,LOGIN
H5,10,1|1955,1571447589,LOGOUT
IOS,20,2|2156,1571447679,LOGOUT
ADR,22,2|1209,1571447739,LOGIN
IOS_YY,13,1|1884,1571447919,LOGIN
ADR,13,1|568,1571448579,LOGIN
ADR,3,0|1846,1571448639,LOGOUT
IOS,24,2|1586,1571449149,LOGIN
H5,20,2|2068,1571449179,LOGOUT
IOS,14,1|629,1571449239,LOGIN
IOS,12,1|904,1571449509,LOGOUT
IOS,14,1|2974,1571449539,LOGOUT
IOS,13,1|751,1571449629,LOGIN
IOS_YY,2,0|1865,1571449989,LOGOUT
IOS,23,2|2650,1571450349,LOGOUT
ADR,20,2|608,1571450559,LOGIN
H5,11,1|338,1571450589,LOGOUT
H5,4,0|2173,1571450979,LOGIN
IOS,10,1|852,1571451009,LOGIN
IOS_YY,1,0|358,1571451039,LOGOUT
H5,25,2|479,1571451129,LOGIN
ADR,12,1|1342,1571451609,LOGOUT
IOS,2,0|367,1571451639,LOGOUT
H5,21,2|834,1571451669,LOGOUT
IOS,13,1|154,1571451789,LOGOUT
ADR,5,0|2295,1571451849,LOGIN
IOS,11,1|1171,1571452599,LOGOUT
IOS,5,0|2676,1571452719,LOGIN
IOS,20,2|2748,1571452749,LOGOUT
H5,15,1|413,1571452899,LOGIN
H5,14,1|1838,1571453079,LOGIN
IOS_YY,10,1|317,1571453199,LOGOUT
H5,24,2|317,1571453199,LOGIN
ADR,0,0|2183,1571453259,LOGOUT
IOS_YY,23,2|555,1571453589,LOGOUT
ADR,24,2|481,1571454039,LOGOUT
IOS,12,1|481,1571454039,LOGIN
H5,3,0|2183,1571454219,LOGOUT
H5,5,0|2814,1571454279,LOGIN
ADR,4,0|1797,1571454399,LOGIN
IOS_YY,22,2|1637,1571454429,LOGIN
ADR,14,1|1637,1571454429,LOGOUT
IOS,15,1|354,1571454519,LOGIN
IOS,15,1|1135,1571454639,LOGOUT
IOS,15,1|1135,1571454639,LOGOUT
IOS_YY,25,2|2257,1571454819,LOGIN
IOS_YY,11,1|1404,1571454879,LOGIN
ADR,3,0|2203,1571454939,LOGOUT
IOS_YY,11,1|590,1571455059,LOGOUT
H5,13,1|292,1571455209,LOGOUT
IOS,22,2|2956,1571455239,LOGIN
IOS_YY,24,2|1105,1571455479,LOGOUT
H5,15,1|2024,1571455509,LOGIN
H5,15,1|2024,1571455509,LOGIN
IOS,11,1|1252,1571455719,LOGOUT
H5,22,2|1970,1571455929,LOGIN
ADR,21,2|2807,1571456259,LOGOUT
H5,24,2|1571,1571456289,LOGOUT
IOS_YY,13,1|1571,1571456289,LOGIN
ADR,3,0|1136,1571456709,LOGOUT
IOS,2,0|2295,1571457219,LOGIN
IOS,21,2|1954,1571457729,LOGIN
IOS_YY,15,1|616,1571457849,LOGOUT
IOS_YY,5,0|616,1571457849,LOGIN
IOS_YY,1,0|1783,1571458179,LOGOUT
IOS,23,2|2577,1571458239,LOGIN
IOS_YY,10,1|2577,1571458239,LOGOUT
H5,0,0|797,1571458269,LOGIN
H5,5,0|550,1571458389,LOGOUT
IOS,13,1|2842,1571458719,LOGOUT
H5,11,1|2681,1571458929,LOGOUT
ADR,4,0|1334,1571459109,LOGOUT
ADR,21,2|1456,1571459799,LOGIN
IOS_YY,14,1|2552,1571459979,LOGIN
IOS_YY,22,2|2704,1571460099,LOGIN
ADR,25,2|1953,1571460339,LOGIN
IOS,20,2|1472,1571460789,LOGIN
IOS,13,1|9,1571460819,LOGIN
H5,15,1|627,1571460849,LOGOUT
H5,21,2|627,1571460849,LOGIN
IOS,0,0|2771,1571460999,LOGOUT
ADR,12,1|1212,1571461119,LOGOUT
IOS_YY,11,1|851,1571461299,LOGIN
IOS_YY,22,2|1096,1571461329,LOGOUT
H5,2,0|2115,1571461359,LOGIN
H5,22,2|304,1571461449,LOGOUT
H5,14,1|1319_104,1571461539,LOGOUT
IOS_YY,24,2|1105,1571462019,LOGOUT
H5,20,2|2792,1571462079,LOGOUT
ADR,3,0|2488,1571462199,LOGIN
ADR,3,0|2488,1571462199,LOGIN
IOS,20,2|969,1571462469,LOGIN
ADR,14,1|969,1571462469,LOGOUT
H5,24,2|2571,1571462559,LOGOUT
IOS,5,0|1991,1571462679,LOGIN
ADR,14,1|194,1571463159,LOGOUT
H5,22,2|201,1571463399,LOGIN
H5,11,1|1434,1571463429,LOGIN
ADR,2,0|1270,1571463489,LOGOUT
ADR,10,1|1316,1571463879,LOGIN
IOS,11,1|2199,1571463909,LOGOUT
IOS,13,1|2715,1571463969,LOGIN
H5,0,0|124,1571464059,LOGIN
IOS,24,2|2677,1571465139,LOGIN
H5,21,2|2662,1571465319,LOGIN
IOS,15,1|2372,1571465379,LOGOUT
IOS,2,0|148_130,1571465409,LOGIN
IOS_YY,15,1|657,1571465559,LOGOUT
IOS_YY,11,1|1376,1571465619,LOGOUT
IOS,3,0|2001_13,1571465679,LOGIN
H5,12,1|2306,1571465709,LOGIN
IOS_YY,0,0|2642,1571465769,LOGIN
IOS_YY,5,0|1694,1571466129,LOGIN
H5,13,1|1811,1571466159,LOGOUT
IOS_YY,3,0|1811,1571466159,LOGIN
IOS_YY,11,1|1330_42,1571466189,LOGIN
IOS,21,2|2539,1571466309,LOGOUT
IOS,24,2|2030,1571466339,LOGIN
IOS_YY,10,1|982,1571466429,LOGIN
IOS_YY,15,1|1693,1571467149,LOGIN
IOS_YY,22,2|2613,1571467299,LOGOUT
IOS,23,2|2458,1571467449,LOGIN
ADR,21,2|2704,1571468169,LOGIN
ADR,14,1|593,1571468319,LOGIN
IOS,24,2|864,1571468499,LOGIN
IOS_YY,0,0|2066,1571468619,LOGIN
ADR,5,0|2002,1571468679,LOGIN
ADR,11,1|2958,1571468739,LOGOUT
IOS,3,0|828,1571468919,LOGOUT
IOS,3,0|828,1571468919,LOGOUT
IOS_YY,14,1|944,1571469099,LOGIN
IOS,21,2|944,1571469099,LOGOUT
IOS,24,2|143,1571469279,LOGIN
H5,0,0|910,1571469459,LOGOUT
ADR,10,1|2199,1571469609,LOGOUT
H5,12,1|202,1571469669,LOGOUT
ADR,2,0|1691,1571469849,LOGOUT
IOS,24,2|1644,1571470419,LOGOUT
ADR,20,2|1317,1571470479,LOGIN
IOS,14,1|159,1571470539,LOGOUT
IOS_YY,10,1|435_49,1571471139,LOGOUT
H5,15,1|772,1571471319,LOGIN
IOS_YY,22,2|1394_8,1571471559,LOGIN
H5,1,0|871,1571471829,LOGOUT
H5,12,1|1594,1571471859,LOGIN
ADR,14,1|1457,1571472789,LOGIN
ADR,3,0|1359,1571472909,LOGIN
H5,10,1|1458,1571472969,LOGIN
ADR,12,1|1882,1571473209,LOGIN
IOS,13,1|1757,1571473419,LOGIN
ADR,23,2|844,1571473569,LOGIN
IOS_YY,23,2|1630,1571473689,LOGIN
ADR,10,1|1489,1571473809,LOGOUT
H5,24,2|2313,1571473839,LOGOUT
ADR,5,0|1631,1571474079,LOGOUT
IOS_YY,3,0|1631,1571474079,LOGIN
ADR,11,1|1590,1571474469,LOGIN
H5,0,0|1755,1571474799,LOGOUT
H5,0,0|1755,1571474799,LOGOUT
IOS,12,1|2534,1571475099,LOGOUT
IOS,10,1|563,1571475159,LOGOUT
H5,25,2|1717,1571475219,LOGIN
IOS,20,2|1717,1571475219,LOGOUT
H5,13,1|1789,1571475519,LOGIN
IOS,24,2|2302,1571475789,LOGIN
H5,3,0|2543,1571475999,LOGIN
ADR,0,0|2287,1571476389,LOGOUT
IOS,3,0|2132,1571476779,LOGIN
IOS_YY,14,1|2354,1571476839,LOGIN
IOS_YY,11,1|30_266,1571477019,LOGOUT
H5,11,1|1625,1571477139,LOGIN
IOS,1,0|567,1571477199,LOGIN
H5,22,2|583,1571477229,LOGOUT
ADR,3,0|1605,1571477349,LOGOUT
IOS_YY,3,0|1062,1571477469,LOGOUT
IOS,5,0|654,1571477499,LOGIN
IOS,23,2|529,1571477799,LOGIN
IOS,5,0|2630,1571477979,LOGOUT
IOS,21,2|2630,1571477979,LOGIN
IOS_YY,13,1|1011,1571478429,LOGIN
IOS_YY,25,2|1957,1571478459,LOGIN
ADR,10,1|2027,1571478729,LOGOUT
IOS,12,1|108,1571478759,LOGIN
ADR,2,0|2691,1571478849,LOGOUT
IOS_YY,5,0|2990,1571478879,LOGOUT
H5,1,0|832,1571478999,LOGOUT
IOS,20,2|832,1571478999,LOGIN
ADR,13,1|2072,1571479149,LOGIN
IOS,14,1|2951,1571479359,LOGIN
IOS_YY,2,0|876_132,1571479419,LOGOUT
IOS_YY,5,0|1749,1571479689,LOGOUT
H5,20,2|2115,1571479779,LOGOUT
H5,22,2|2115,1571479779,LOGIN
ADR,25,2|2779,1571479809,LOGIN
IOS,25,2|1350,1571480169,LOGOUT
ADR,21,2|1235,1571480469,LOGIN
ADR,3,0|2324,1571480499,LOGIN
IOS_YY,25,2|522,1571480739,LOGOUT
IOS_YY,25,2|1979,1571480829,LOGOUT
IOS_YY,12,1|37,1571481159,LOGOUT
IOS_YY,12,1|2106,1571481279,LOGOUT
ADR,21,2|1409,1571481729,LOGIN
ADR,20,2|2618,1571481909,LOGOUT
H5,23,2|737,1571481999,LOGIN
IOS,0,0|2596,1571482089,LOGIN
IOS_YY,12,1|511,1571482299,LOGOUT
IOS,14,1|1779,1571482329,LOGIN
ADR,11,1|2390,1571482569,LOGOUT
H5,24,2|551,1571482599,LOGOUT
ADR,11,1|749,1571482719,LOGIN
H5,25,2|2612,1571483109,LOGIN
ADR,14,1|304,1571483499,LOGOUT
ADR,13,1|304,1571483499,LOGIN
IOS_YY,20,2|1899,1571484519,LOGOUT
IOS_YY,20,2|1899,1571484519,LOGOUT
IOS_YY,20,2|1899,1571484519,LOGOUT
IOS_YY,4,0|962,1571484639,LOGIN
IOS,20,2|2483,1571484669,LOGIN
H5,3,0|1533,1571485029,LOGOUT
H5,21,2|459,1571485269,LOGIN
IOS_YY,11,1|1414,1571485599,LOGIN
ADR,12,1|1414_5,1571485749,LOGOUT
IOS,13,1|1452,1571485779,LOGIN
ADR,15,1|1718,1571485809,LOGOUT
H5,5,0|168,1571485869,LOGIN
H5,5,0|168,1571485869,LOGIN
H5,23,2|291_197,1571485929,LOGOUT
ADR,2,0|2039,1571486469,LOGOUT
H5,21,2|2039,1571486469,LOGIN
H5,21,2|2039,1571486469,LOGIN
IOS_YY,15,1|1707,1571486799,LOGIN
H5,12,1|63,1571487009,LOGIN
H5,0,0|1162,1571487039,LOGIN
H5,2,0|1254_122,1571487129,LOGOUT
ADR,20,2|2648,1571487429,LOGIN
ADR,25,2|2483,1571487609,LOGOUT
ADR,13,1|2533,1571487819,LOGOUT
IOS,10,1|1273,1571488119,LOGOUT
IOS_YY,14,1|2784,1571488239,LOGIN
IOS,2,0|2696,1571488329,LOGOUT
IOS_YY,1,0|2209,1571488479,LOGOUT
IOS_YY,24,2|2058,1571488599,LOGOUT
IOS_YY,10,1|1352,1571488749,LOGIN
H5,10,1|1083,1571488809,LOGIN
H5,10,1|1083,1571488809,LOGIN
ADR,1,0|2859,1571489169,LOGIN
IOS,14,1|167,1571489379,LOGOUT
IOS,3,0|2135,1571489709,LOGIN
IOS_YY,24,2|2135,1571489709,LOGOUT
H5,2,0|1423_119,1571489949,LOGOUT
IOS,20,2|2907,1571490009,LOGIN
IOS,4,0|366,1571490399,LOGIN
IOS,23,2|234,1571490849,LOGIN
IOS_YY,21,2|852,1571490879,LOGOUT
H5,14,1|2662,1571491089,LOGOUT
H5,10,1|41,1571491239,LOGIN
ADR,22,2|1419,1571491449,LOGOUT
IOS_YY,12,1|1252,1571491509,LOGOUT
IOS_YY,12,1|610,1571491659,LOGIN
ADR,23,2|1085,1571492229,LOGOUT
IOS,10,1|1576,1571492289,LOGOUT
IOS_YY,3,0|1387,1571492319,LOGOUT
H5,23,2|2899,1571493159,LOGOUT
ADR,13,1|1042,1571493189,LOGIN
ADR,11,1|2778,1571493369,LOGOUT
ADR,2,0|797,1571493639,LOGOUT
IOS_YY,15,1|2202,1571493849,LOGOUT
ADR,1,0|1688,1571493969,LOGIN
IOS,21,2|1192,1571493999,LOGOUT
IOS_YY,15,1|2632,1571494269,LOGOUT
H5,12,1|548,1571494299,LOGOUT
IOS_YY,0,0|1406,1571494389,LOGOUT
IOS_YY,10,1|2085,1571494539,LOGOUT
ADR,24,2|35,1571494719,LOGIN
IOS,10,1|257,1571494899,LOGIN
IOS_YY,23,2|2721,1571494929,LOGIN
IOS_YY,5,0|2826,1571494989,LOGIN
IOS_YY,12,1|2063,1571495469,LOGOUT
ADR,3,0|1811_242,1571495799,LOGOUT
IOS_YY,11,1|1811_242,1571495799,LOGIN
ADR,14,1|484,1571495889,LOGIN
ADR,3,0|2992,1571496009,LOGOUT
IOS,23,2|885,1571496309,LOGOUT
IOS_YY,1,0|24,1571496459,LOGIN
ADR,0,0|2757,1571496789,LOGOUT
ADR,3,0|2113,1571496819,LOGIN
ADR,10,1|657,1571496969,LOGIN
ADR,22,2|452,1571497299,LOGIN
ADR,0,0|2719,1571497359,LOGOUT
IOS_YY,11,1|896,1571497719,LOGOUT
H5,3,0|2715,1571497809,LOGOUT
IOS,13,1|2559,1571497899,LOGOUT
ADR,14,1|1362,1571498109,LOGIN
IOS_YY,5,0|1203,1571498289,LOGIN
ADR,23,2|212,1571498319,LOGOUT
IOS,3,0|1222,1571498559,LOGIN
ADR,2,0|1619,1571498949,LOGOUT
ADR,21,2|1290,1571499159,LOGOUT
IOS_YY,3,0|459,1571499369,LOGOUT
H5,13,1|459,1571499369,LOGIN
ADR,24,2|2158,1571499819,LOGOUT
IOS_YY,5,0|919,1571500329,LOGOUT
IOS_YY,0,0|1582,1571500569,LOGIN
ADR,12,1|331,1571500659,LOGIN
H5,12,1|2204,1571500719,LOGIN
ADR,21,2|1947_191,1571414469,LOGIN
IOS,15,1|2506,1571414559,LOGOUT
ADR,12,1|2732,1571414649,LOGIN
IOS,2,0|1179,1571414739,LOGOUT
IOS_YY,22,2|2342,1571415309,LOGIN
IOS,15,1|1887_25,1571415399,LOGOUT
IOS,15,1|1887_25,1571415399,LOGOUT
IOS,5,0|795,1571415609,LOGOUT
IOS,25,2|2134,1571415639,LOGOUT
IOS_YY,12,1|871,1571415909,LOGIN
H5,0,0|1427,1571415969,LOGIN
IOS_YY,14,1|579,1571416179,LOGOUT
IOS_YY,4,0|1256,1571416269,LOGIN
H5,20,2|1621,1571416509,LOGIN
IOS,3,0|2809,1571416779,LOGOUT
ADR,20,2|2778,1571416809,LOGIN
ADR,10,1|678_228,1571416929,LOGIN
ADR,21,2|2566,1571417079,LOGOUT
H5,0,0|695,1571417319,LOGOUT
IOS,4,0|1988,1571417649,LOGOUT
IOS_YY,15,1|1730,1571417829,LOGIN
IOS,1,0|2477,1571417859,LOGOUT
H5,21,2|2062,1571417889,LOGOUT
ADR,14,1|2432,1571418069,LOGOUT
ADR,3,0|624,1571418249,LOGOUT
H5,0,0|413,1571418399,LOGOUT
IOS_YY,22,2|1117_150,1571418789,LOGIN
IOS_YY,11,1|2262,1571418819,LOGOUT
IOS,0,0|148,1571418849,LOGIN
H5,1,0|573,1571418909,LOGIN
ADR,1,0|573,1571418909,LOGOUT
H5,5,0|987,1571419029,LOGIN
ADR,25,2|733,1571419149,LOGOUT
IOS,21,2|2765,1571419389,LOGIN
IOS,1,0|977,1571419629,LOGOUT
IOS_YY,11,1|1367,1571419779,LOGIN
ADR,1,0|1591,1571419929,LOGIN
IOS,5,0|494,1571419959,LOGOUT
IOS_YY,1,0|2631,1571420079,LOGOUT
ADR,15,1|2023,1571420259,LOGIN
IOS_YY,1,0|615_85,1571420289,LOGIN
H5,3,0|1529,1571420319,LOGOUT
H5,12,1|1903,1571420349,LOGIN
H5,5,0|2127,1571420529,LOGOUT
ADR,11,1|2397,1571420739,LOGOUT
ADR,3,0|2053,1571420949,LOGOUT
H5,4,0|2053,1571420949,LOGIN
H5,4,0|973,1571421039,LOGIN
IOS_YY,13,1|975,1571421339,LOGOUT
IOS,15,1|2277,1571421549,LOGOUT
H5,23,2|1797,1571421669,LOGOUT
IOS_YY,21,2|2598,1571421819,LOGIN
H5,25,2|1490,1571421849,LOGIN
IOS_YY,23,2|1072,1571421969,LOGIN
IOS,4,0|1442,1571422029,LOGIN
ADR,15,1|1304_273,1571422059,LOGOUT
H5,3,0|2188,1571422239,LOGOUT
IOS_YY,25,2|1078,1571422329,LOGOUT
IOS_YY,1,0|510,1571422359,LOGIN
